time,lat,long,alt,tmp_e,press,obc_tmp,obc_vcc,obc_curr,com_tmp,com_vcc,com_curr,snw_tmp,snw_vcc,snw_curr,Eps_tmp,Eps_vcc,bat_vcc
10:25:00,47.4808N,18.8381E,8250,-38.6,34309,5.6,3.2,120,7.6,3.2,59,7.0,3.2,107,7.3,3.2,4.40
10:25:50,47.4780N,18.8199E,8525,-40.4,32955,4.5,3.2,125,6.1,3.2,63,5.1,3.2,113,5.7,3.2,4.37
10:26:40,47.4749N,18.8002E,8800,-42.2,31646,3.4,3.2,120,4.5,3.2,60,3.9,3.2,108,4.3,3.2,4.36
10:27:30,47.4713N,18.7794E,9075,-44.0,30379,2.3,3.2,140,3.7,3.2,79,2.9,3.2,128,3.6,3.2,4.35
10:28:20,47.4673N,18.7581E,9350,-45.8,29153,1.2,3.2,160,1.7,3.2,99,1.0,3.2,148,1.8,3.2,4.34
10:29:10,47.4626N,18.7364E,9625,-47.6,27968,1.0,3.2,120,2.5,3.2,60,2.4,3.2,108,3.3,3.2,4.34
10:30:00,47.4575N,18.7148E,9900,-49.4,26822,0.8,3.2,125,0.9,3.2,63,0.5,3.2,113,0.8,3.2,4.33
10:30:50,47.4518N,18.6934E,10175,-51.1,25714,0.6,3.2,120,2.5,3.2,60,2.2,3.2,108,2.5,3.2,4.32
10:31:40,47.4455N,18.6723E,10450,-52.0,24767,0.4,3.2,140,1.1,3.2,79,0.2,3.2,127,0.6,3.2,4.32
10:32:30,47.4386N,18.6514E,10725,-52.0,23720,0.2,3.2,160,0.2,3.2,98,-0.2,3.2,147,0.4,3.2,4.31
10:33:20,47.4312N,18.6305E,11000,-52.0,22718,0.0,3.2,120,0.6,3.2,58,0.3,3.2,108,0.3,3.2,4.30
10:34:10,47.4234N,18.6096E,11275,-52.0,21758,-0.2,3.2,125,1.0,3.2,65,0.6,3.2,113,1.4,3.2,4.30
10:35:00,47.4152N,18.5888E,11550,-52.0,20839,-0.4,3.2,120,0.2,3.2,59,-0.3,3.2,108,0.4,3.2,4.29
10:35:50,47.4070N,18.5681E,11825,-52.0,19958,-0.6,3.2,140,0.0,3.2,78,-0.8,3.2,128,0.1,3.2,4.28
10:36:40,47.3988N,18.5476E,12100,-52.0,19115,-0.8,3.2,160,-0.5,3.2,99,-0.7,3.2,148,-0.1,3.2,4.27
10:37:30,47.3909N,18.5277E,12375,-52.0,18307,-1.0,3.2,120,-0.9,3.2,58,-1.6,3.2,108,-0.9,3.2,4.27
10:38:20,47.3834N,18.5087E,12650,-52.0,17533,-1.2,3.2,140,0.3,3.2,80,0.1,3.2,129,1.1,3.2,4.26
10:39:10,47.3765N,18.4907E,12925,-52.0,16793,-1.4,3.2,160,-0.9,3.2,99,-1.5,3.2,149,-1.5,3.2,4.25
10:40:00,47.3700N,18.4740E,13200,-52.0,16083,-1.6,3.2,120,-0.7,3.2,60,-1.0,3.2,109,-0.8,3.2,4.25
10:40:50,47.3638N,18.4589E,13475,-52.0,15403,-1.8,3.2,125,-1.2,3.2,64,-1.3,3.2,114,-0.6,3.2,4.24
10:41:40,47.3579N,18.4455E,13750,-52.0,14752,-2.0,3.2,120,-0.2,3.2,59,-0.6,3.2,109,0.3,3.2,4.23
10:42:30,47.3523N,18.4336E,14025,-52.0,14129,-2.2,3.2,140,-1.9,3.2,78,-2.5,3.2,127,-1.9,3.2,4.23
10:43:20,47.3467N,18.4227E,14300,-52.0,13532,-2.4,3.2,160,-2.4,3.2,100,-3.1,3.2,149,-3.0,3.2,4.22
10:44:10,47.3412N,18.4128E,14575,-52.0,12960,-2.6,3.2,120,-1.7,3.2,60,-2.2,3.2,109,-1.9,3.2,4.21
10:45:00,47.3358N,18.4037E,14850,-52.0,12413,-2.8,3.2,140,-1.3,3.2,79,-1.8,3.2,128,-1.7,3.2,4.20
10:45:50,47.3305N,18.3955E,15125,-52.0,11888,-3.0,3.2,160,-2.4,3.2,99,-2.5,3.2,149,-2.1,3.2,4.20
10:46:40,47.3254N,18.3880E,15400,-52.0,11386,-3.2,3.2,120,-2.5,3.2,59,-2.7,3.2,108,-2.6,3.2,4.19
10:47:30,47.3206N,18.3811E,15675,-52.0,10905,-3.4,3.2,140,-2.9,3.2,79,-3.5,3.2,129,-2.8,3.2,4.18
10:48:20,47.3160N,18.3748E,15950,-52.0,10444,-3.6,3.2,160,-1.8,3.2,99,-2.1,3.2,148,-1.4,3.2,4.18
10:49:10,47.3117N,18.3691E,16225,-52.0,10002,-3.8,3.2,120,-3.5,3.2,59,-3.8,3.2,108,-3.2,3.2,4.17
10:50:00,47.3076N,18.3640E,16500,-52.0,9580,-4.0,3.2,125,-2.9,3.2,65,-3.5,3.2,113,-3.3,3.2,4.16
10:50:50,47.3036N,18.3593E,16775,-52.0,9175,-4.2,3.2,120,-4.2,3.2,59,-4.5,3.2,109,-4.5,3.2,4.16
10:51:40,47.2997N,18.3550E,17050,-52.0,8787,-4.4,3.2,140,-3.1,3.2,80,-3.8,3.2,129,-3.5,3.2,4.15
10:52:30,47.2959N,18.3510E,17325,-52.0,8416,-4.6,3.2,160,-4.5,3.2,100,-5.0,3.2,148,-4.2,3.2,4.14
10:53:20,47.2922N,18.3474E,17600,-52.0,8060,-4.8,3.2,120,-3.6,3.2,59,-4.5,3.2,109,-3.8,3.2,4.13
10:54:10,47.2886N,18.3441E,17875,-52.0,7720,-5.0,3.2,160,-3.5,3.2,100,-3.5,3.2,149,-3.1,3.2,4.13
10:55:00,47.2851N,18.3412E,18150,-52.0,7394,-5.2,3.2,120,-5.1,3.2,59,-5.1,3.2,107,-4.2,3.2,4.12
10:55:50,47.2817N,18.3387E,18425,-52.0,7081,-5.4,3.2,125,-4.6,3.2,64,-5.5,3.2,112,-4.9,3.2,4.11
10:56:40,47.2784N,18.3364E,18700,-52.0,6782,-5.6,3.2,120,-5.0,3.2,59,-5.9,3.2,109,-5.6,3.2,4.11
10:57:30,47.2752N,18.3345E,18975,-52.0,6495,-5.8,3.2,140,-4.8,3.2,79,-4.8,3.2,128,-4.3,3.2,4.10
10:58:20,47.2721N,18.3328E,19250,-52.0,6221,-6.0,3.2,160,-4.4,3.2,99,-4.4,3.2,148,-3.8,3.2,4.09
10:59:10,47.2691N,18.3313E,19525,-52.0,5958,-6.2,3.2,120,-5.7,3.2,58,-6.5,3.2,107,-5.6,3.2,4.09
11:00:00,47.2662N,18.3300E,19800,-52.0,5706,-6.4,3.2,125,-4.9,3.2,64,-5.1,3.2,113,-4.3,3.2,4.08
11:00:50,47.2634N,18.3290E,20075,-52.0,5465,-6.6,3.2,120,-6.6,3.2,58,-7.1,3.2,108,-6.9,3.2,4.07
11:01:40,47.2607N,18.3283E,20350,-52.0,5234,-6.8,3.2,125,-5.4,3.2,65,-5.9,3.2,113,-5.0,3.2,4.06
11:02:30,47.2581N,18.3278E,20625,-52.0,5013,-7.0,3.2,120,-6.4,3.2,58,-6.5,3.2,106,-5.6,3.2,4.06
11:03:20,47.2555N,18.3276E,20900,-52.0,4801,-7.2,3.2,140,-6.0,3.2,80,-6.2,3.2,130,-5.3,3.2,4.05
11:04:10,47.2529N,18.3277E,21175,-52.0,4598,-7.4,3.2,160,-6.4,3.2,99,-6.4,3.2,147,-6.3,3.2,4.04
11:05:00,47.2503N,18.3281E,21450,-52.0,4404,-7.6,3.2,120,-6.6,3.2,59,-7.1,3.2,108,-7.0,3.2,4.04
11:05:50,47.2476N,18.3289E,21725,-52.0,4218,-7.8,3.2,125,-6.4,3.2,65,-7.3,3.2,114,-7.1,3.2,4.03
11:06:40,47.2450N,18.3299E,22000,-52.0,4040,-8.0,3.2,120,-7.0,3.2,60,-7.4,3.2,109,-6.9,3.2,4.02
11:07:30,47.2423N,18.3313E,22275,-52.0,3869,-8.2,3.2,140,-8.2,3.2,79,-9.0,3.2,128,-9.0,3.2,4.02
11:08:20,47.2396N,18.3330E,22550,-52.0,3705,-8.4,3.2,160,-7.4,3.2,99,-7.6,3.2,149,-6.7,3.2,4.01
11:09:10,47.2369N,18.3349E,22825,-52.0,3549,-8.6,3.2,120,-7.1,3.2,58,-7.7,3.2,107,-7.6,3.2,4.00
11:10:00,47.2342N,18.3372E,23100,-52.0,3399,-8.8,3.2,125,-7.0,3.2,63,-8.0,3.2,111,-7.6,3.2,3.99
11:10:50,47.2314N,18.3398E,23375,-52.0,3255,-9.0,3.2,120,-7.4,3.2,59,-7.8,3.2,107,-7.8,3.2,3.99
11:11:40,47.2286N,18.3428E,23650,-52.0,3118,-9.2,3.2,140,-7.5,3.2,78,-8.0,3.2,127,-7.9,3.2,3.98
11:12:30,47.2258N,18.3461E,23925,-52.0,2986,-9.4,3.2,160,-8.4,3.2,98,-8.7,3.2,148,-8.5,3.2,3.97
11:13:20,47.2229N,18.3501E,24200,-52.0,2860,-9.6,3.2,120,-9.0,3.2,58,-9.0,3.2,108,-8.6,3.2,3.97
11:14:10,47.2198N,18.3547E,24475,-52.0,2739,-9.8,3.2,125,-9.3,3.2,65,-10.0,3.2,113,-9.5,3.2,3.96
11:15:00,47.2167N,18.3599E,24750,-52.0,2623,-10.0,3.2,120,-9.9,3.2,58,-10.7,3.2,107,-9.8,3.2,3.95
11:15:50,47.2134N,18.3658E,25025,-52.0,2512,-10.2,3.2,140,-9.7,3.2,79,-10.4,3.2,128,-10.2,3.2,3.94
11:16:40,47.2100N,18.3723E,25300,-52.0,2406,-10.4,3.2,160,-10.4,3.2,99,-11.2,3.2,148,-10.5,3.2,3.94
11:17:30,47.2065N,18.3794E,25575,-52.0,2305,-10.6,3.2,125,-10.6,3.2,64,-11.6,3.2,112,-11.5,3.2,3.93
11:18:20,47.2029N,18.3872E,25850,-52.0,2207,-10.8,3.2,120,-8.8,3.2,58,-9.1,3.2,108,-8.7,3.2,3.92
11:19:10,47.1991N,18.3955E,26125,-52.9,2071,-11.0,3.2,140,-9.2,3.2,79,-9.5,3.2,128,-8.7,3.2,3.92
11:20:00,47.1953N,18.4046E,26400,-52.1,1985,-11.2,3.2,160,-10.3,3.2,99,-10.5,3.2,147,-10.4,3.2,3.91
11:20:50,47.1915N,18.4143E,26675,-51.2,1903,-11.4,3.2,120,-10.5,3.2,59,-10.7,3.2,107,-10.1,3.2,3.90
11:21:40,47.1876N,18.4248E,26950,-50.4,1825,-11.6,3.2,125,-11.1,3.2,65,-11.5,3.2,115,-11.4,3.2,3.90
11:22:30,47.1837N,18.4360E,27225,-49.6,1749,-11.6,3.2,120,-10.0,3.2,60,-10.8,3.2,109,-9.9,3.2,3.89
11:23:20,47.1798N,18.4478E,27500,-48.8,1678,-11.7,3.2,140,-9.9,3.2,79,-10.6,3.2,128,-9.8,3.2,3.88
11:24:10,47.1759N,18.4604E,27775,-48.0,1609,-11.7,3.2,160,-11.7,3.2,99,-12.2,3.2,149,-11.4,3.2,3.87
11:25:00,47.1719N,18.4738E,28050,-47.1,1544,-11.7,3.2,120,-10.6,3.2,59,-10.7,3.2,109,-10.1,3.2,3.87
11:25:50,47.1680N,18.4878E,28325,-46.3,1481,-11.8,3.2,125,-10.5,3.2,64,-11.1,3.2,113,-10.5,3.2,3.86
11:26:40,47.1640N,18.5025E,28600,-45.5,1421,-11.8,3.2,120,-10.4,3.2,59,-10.8,3.2,109,-10.2,3.2,3.85
11:27:30,47.1600N,18.5179E,28875,-44.7,1364,-11.9,3.2,140,-11.1,3.2,79,-11.9,3.2,128,-11.1,3.2,3.85
11:28:20,47.1560N,18.5341E,29150,-43.8,1309,-11.9,3.2,160,-10.9,3.2,99,-11.6,3.2,147,-10.7,3.2,3.84
11:29:10,47.1520N,18.5510E,29425,-43.0,1257,-11.9,3.2,120,-10.3,3.2,59,-11.1,3.2,108,-10.9,3.2,3.83
11:30:00,47.1480N,18.5685E,29700,-42.2,1207,-12.0,3.2,125,-10.3,3.2,63,-11.1,3.2,112,-10.6,3.2,3.83
11:30:50,47.1440N,18.5868E,29975,-41.4,1159,-12.0,3.2,120,-10.8,3.2,60,-11.2,3.2,108,-10.2,3.2,3.82
11:32:30,47.1400N,18.6028E,27879,-47.6,1584,-12.1,3.2,140,-10.5,3.2,80,-10.9,3.2,129,-10.2,3.2,3.81
11:34:10,47.1361N,18.6134E,25931,-53.5,2134,-12.3,3.2,160,-10.5,3.2,99,-11.5,3.2,148,-11.0,3.2,3.80
11:35:50,47.1326N,18.6197E,24263,-52.0,2832,-12.5,3.2,120,-11.8,3.2,59,-12.4,3.2,107,-11.8,3.2,3.80
11:37:30,47.1297N,18.6227E,22797,-52.0,3565,-12.8,3.2,140,-10.9,3.2,79,-11.4,3.2,128,-10.5,3.2,3.79
11:39:10,47.1270N,18.6241E,21482,-52.0,4382,-13.0,3.2,160,-12.2,3.2,100,-13.1,3.2,150,-12.3,3.2,3.78
11:40:50,47.1243N,18.6241E,20290,-52.0,5284,-13.2,3.2,120,-11.7,3.2,59,-11.7,3.2,107,-11.2,3.2,3.78
11:42:30,47.1214N,18.6229E,19201,-52.0,6269,-13.5,3.2,125,-12.4,3.2,65,-13.0,3.2,113,-12.5,3.2,3.77
11:44:10,47.1182N,18.6207E,18197,-52.0,7339,-13.7,3.2,120,-12.5,3.2,58,-13.1,3.2,107,-12.2,3.2,3.76
11:45:50,47.1146N,18.6174E,17267,-52.0,8493,-13.9,3.2,140,-13.2,3.2,79,-13.4,3.2,127,-13.2,3.2,3.76
11:47:30,47.1107N,18.6129E,16400,-52.0,9731,-14.1,3.2,160,-13.1,3.2,98,-13.7,3.2,148,-12.7,3.2,3.75
11:49:10,47.1063N,18.6071E,15589,-52.0,11054,-14.4,3.2,120,-13.7,3.2,59,-14.1,3.2,107,-13.9,3.2,3.74
11:50:50,47.1012N,18.5994E,14826,-52.0,12460,-14.6,3.2,160,-13.5,3.2,99,-14.0,3.2,147,-13.2,3.2,3.73
11:52:30,47.0958N,18.5897E,14106,-52.0,13951,-14.8,3.2,120,-13.7,3.2,58,-14.4,3.2,108,-14.2,3.2,3.73
11:54:10,47.0902N,18.5775E,13425,-52.0,15525,-15.1,3.2,140,-15.0,3.2,78,-16.0,3.2,126,-15.4,3.2,3.72
11:55:50,47.0843N,18.5613E,12778,-52.0,17184,-15.3,3.2,160,-14.6,3.2,99,-14.9,3.2,147,-14.1,3.2,3.71
11:57:30,47.0776N,18.5422E,12163,-52.0,18927,-15.5,3.2,120,-14.4,3.2,58,-15.1,3.2,107,-14.1,3.2,3.71
11:59:10,47.0704N,18.5216E,11576,-52.0,20754,-15.8,3.2,120,-15.1,3.2,59,-15.3,3.2,109,-14.5,3.2,3.70
12:00:50,47.0633N,18.5009E,11015,-52.0,22666,-16.0,3.2,140,-15.0,3.2,78,-15.9,3.2,128,-15.3,3.2,3.69
12:02:30,47.0571N,18.4804E,10475,-52.0,24670,-16.2,3.2,160,-15.7,3.2,100,-15.8,3.2,149,-15.6,3.2,3.69
12:04:10,47.0519N,18.4595E,9953,-49.7,26605,-15.5,3.2,120,-15.1,3.2,60,-15.8,3.2,109,-15.7,3.2,3.68
12:05:50,47.0479N,18.4383E,9447,-46.4,28729,-14.8,3.2,120,-14.4,3.2,58,-14.5,3.2,106,-14.2,3.2,3.67
12:07:30,47.0448N,18.4172E,8957,-43.2,30919,-14.1,3.2,125,-12.3,3.2,65,-12.6,3.2,113,-12.3,3.2,3.66
12:09:10,47.0424N,18.3974E,8480,-40.1,33173,-13.4,3.2,120,-11.8,3.2,59,-12.7,3.2,107,-11.9,3.2,3.66
12:10:50,47.0403N,18.3799E,8017,-37.1,35491,-12.7,3.2,120,-11.9,3.2,59,-12.0,3.2,108,-11.7,3.2,3.65
12:12:30,47.0384N,18.3653E,7566,-34.2,37873,-11.9,3.2,125,-10.1,3.2,65,-11.1,3.2,114,-11.1,3.2,3.64
12:14:10,47.0367N,18.3534E,7126,-31.3,40317,-11.2,3.2,120,-10.9,3.2,59,-11.1,3.2,108,-10.8,3.2,3.64
12:15:50,47.0355N,18.3430E,6697,-28.5,42822,-10.5,3.2,120,-9.3,3.2,60,-9.7,3.2,108,-9.5,3.2,3.63
12:17:30,47.0347N,18.3332E,6278,-25.8,45389,-9.8,3.2,125,-8.5,3.2,63,-8.8,3.2,112,-7.9,3.2,3.62
12:19:10,47.0343N,18.3237E,5869,-23.1,48015,-9.1,3.2,120,-8.4,3.2,60,-8.7,3.2,109,-7.7,3.2,3.62
12:20:50,47.0343N,18.3143E,5469,-20.5,50702,-8.4,3.2,120,-7.7,3.2,58,-8.1,3.2,107,-7.8,3.2,3.61
12:22:30,47.0346N,18.3049E,5077,-18.0,53447,-7.7,3.2,160,-7.5,3.2,99,-8.2,3.2,149,-7.6,3.2,3.60
12:24:10,47.0352N,18.2959E,4693,-15.5,56251,-7.0,3.2,120,-5.1,3.2,59,-5.3,3.2,109,-4.5,3.2,3.59
12:25:50,47.0361N,18.2874E,4318,-13.1,59112,-6.3,3.2,140,-5.1,3.2,78,-5.2,3.2,127,-4.3,3.2,3.59
12:27:30,47.0372N,18.2796E,3949,-10.7,62031,-5.6,3.2,160,-3.6,3.2,99,-3.8,3.2,149,-3.7,3.2,3.58
12:29:10,47.0385N,18.2724E,3588,-8.3,65007,-4.8,3.2,120,-3.4,3.2,58,-3.5,3.2,108,-3.2,3.2,3.57
12:30:50,47.0399N,18.2658E,3233,-6.0,68039,-4.1,3.2,120,-3.7,3.2,59,-3.7,3.2,109,-3.5,3.2,3.57
12:32:30,47.0414N,18.2594E,2885,-3.8,71127,-3.4,3.2,140,-2.6,3.2,80,-3.4,3.2,129,-3.3,3.2,3.56
12:34:10,47.0431N,18.2531E,2543,-1.5,74270,-2.7,3.2,120,-1.5,3.2,59,-2.2,3.2,108,-2.0,3.2,3.55
12:35:50,47.0451N,18.2475E,2206,0.7,77468,-2.0,3.2,160,-0.2,3.2,99,-1.2,3.2,148,-1.2,3.2,3.55
12:37:30,47.0473N,18.2430E,1876,2.8,80721,-1.3,3.2,120,-1.2,3.2,59,-1.7,3.2,109,-0.8,3.2,3.54
12:39:10,47.0500N,18.2399E,1550,4.9,84028,-0.6,3.2,160,0.1,3.2,98,-0.7,3.2,146,-0.6,3.2,3.53
12:40:50,47.0529N,18.2372E,1230,7.0,87388,0.1,3.2,120,0.7,3.2,59,-0.1,3.2,108,0.4,3.2,3.52
12:42:30,47.0553N,18.2346E,915,9.1,90802,0.8,3.2,140,1.7,3.2,79,0.9,3.2,127,1.3,3.2,3.52
12:44:10,47.0570N,18.2320E,604,11.1,94268,1.5,3.2,160,1.8,3.2,99,1.4,3.2,149,2.0,3.2,3.51
12:45:50,47.0582N,18.2292E,299,13.1,97787,2.3,3.2,120,3.9,3.2,59,3.6,3.2,108,3.7,3.2,3.50
12:47:30,47.0591N,18.2263E,-3,15.0,101358,3.0,3.2,120,4.3,3.2,59,3.8,3.2,109,4.5,3.2,3.50
